KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE	NAM;ART;SIZE	HARGA JUAL	HARGA MODAL	QTY	HARGA NET
FOOTWERE	4052556 759846	G 97026	NITROCHARGE SLIDE M	8	NITROCHARGE SLIDE M;G 97026;8	 Rp 449,000 	  262,665.00 	6	  1,575,990.00 
FOOTWERE	4052556 759853	G 97026	NITROCHARGE SLIDE M	9	NITROCHARGE SLIDE M;G 97026;9	 Rp 449,000 	  262,665.00 	8	  2,101,320.00 
FOOTWERE	4052556 759860	G 97026	NITROCHARGE SLIDE M	10	NITROCHARGE SLIDE M;G 97026;10	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE					;;				
FOOTWERE	4054556 759785	G 97027	NITRO CHARGE SLIDE M	9	NITRO CHARGE SLIDE M;G 97027;9	 Rp 449,000 	  262,665.00 	3	  787,995.00 
FOOTWERE	4054556 759792	G 97027	NITRO CHARGE SLIDE M	10	NITRO CHARGE SLIDE M;G 97027;10	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4053515 601831	G 97858	RELAFOAM VARIO GR W	5	RELAFOAM VARIO GR W;G 97858;5	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE	4053515 601848	G 97858	RELAFOAM VARIO GR W	6	RELAFOAM VARIO GR W;G 97858;6	 Rp 449,000 	  262,665.00 	3	  787,995.00 
FOOTWERE	4053515 601855	G 97858	RELAFOAM VARIO GR W	7	RELAFOAM VARIO GR W;G 97858;7	 Rp 449,000 	  262,665.00 	3	  787,995.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4053515 785555	G 97895	HYDROTERA SANDAL	6-	HYDROTERA SANDAL;G 97895;6-	 Rp 949,000 	  555,165.00 	2	  1,110,330.00 
FOOTWERE	4053515 785562	G 97895	HYDROTERA SANDAL	7	HYDROTERA SANDAL;G 97895;7	 Rp 949,000 	  555,165.00 	1	  555,165.00 
FOOTWERE	4053515 785579	G 97895	HYDROTERA SANDAL	7-	HYDROTERA SANDAL;G 97895;7-	 Rp 949,000 	  555,165.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4054067 978549	M 17387	TERREX SWIFTR	6	TERREX SWIFTR;M 17387;6	 Rp 1,499,000 	  876,915.00 	1	  876,915.00 
